act_role,eng_title,evaluation_num,movie_link,quote,ranking,rating_num,title
"
                            导演: 罗伯·莱纳 Rob Reiner???主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...",?/?Flipped,690599人评价,https://movie.douban.com/subject/3319755/,真正的幸福是来自内心深处。,25,8.9,怦然心动
,,,,,,,
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 安东娜拉·塔莉 Antonel...",?/?Nuovo Cinema Paradiso,351503人评价,https://movie.douban.com/subject/1291828/,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,26,9.1,天堂电影院
,,,,,,,
"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore???主演: 金妮弗·...",?/?Zootopia,645101人评价,https://movie.douban.com/subject/25662329/,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,27,9.1,疯狂动物城
,,,,,,,
"
                            导演: Sidney Lumet???主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...",?/?12 Angry Men,201958人评价,https://movie.douban.com/subject/1293182/,1957年的理想主义。 ,28,9.4,十二怒汉
,,,,,,,
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 克里斯蒂安·贝尔 Christ...",?/?The Dark Knight,398072人评价,https://movie.douban.com/subject/1851857/,无尽的黑暗。,29,9.1,蝙蝠侠：黑暗骑士
,,,,,,,
"
                            导演: 姜文 Wen Jiang???主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...",?/?Devils on the Doorstep,280705人评价,https://movie.douban.com/subject/1291858/,对敌人的仁慈，就是对自己残忍。,30,9.2,鬼子来了
,,,,,,,
"
                            导演: 李安 Ang Lee???主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...",?/?Life of Pi,677783人评价,https://movie.douban.com/subject/1929463/,瑰丽壮观、无人能及的冒险之旅。,31,9,少年派的奇幻漂流
,,,,,,,
"
                            导演: 张艺谋 Yimou Zhang???主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang",?/?人生  /  Lifetimes,330686人评价,https://movie.douban.com/subject/1292365/,张艺谋最好的电影。,32,9.1,活着
,,,,,,,
"
                            导演: 大卫·芬奇 David Fincher???主演: 爱德华·诺顿 Edward Norton / 布拉...",?/?Fight Club,451130人评价,https://movie.douban.com/subject/1292000/,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,33,9,搏击俱乐部
,,,,,,,
"
                            导演: 彼得·杰克逊 Peter Jackson???主演: 维果·莫腾森 Viggo Mortensen / ...",?/?The Lord of the Rings: The Return of the King,333329人评价,https://movie.douban.com/subject/1291552/,史诗的终章。,34,9.1,指环王3：王者无敌
,,,,,,,
"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...",?/?天空の城ラピュタ,391106人评价,https://movie.douban.com/subject/1291583/,对天空的追逐，永不停止。 ,35,9,天空之城
,,,,,,,
"
                            导演: 刘镇伟 Jeffrey Lau???主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",?/?西遊記第壹佰零壹回之月光寶盒,487612人评价,https://movie.douban.com/subject/1299398/,旷古烁今。,36,8.9,大话西游之月光宝盒
,,,,,,,
"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson???主演: 爱德...",?/?Up,591520人评价,https://movie.douban.com/subject/2129039/,最后那些最无聊的事情，才是最值得怀念的。 ,37,8.9,飞屋环游记
,,,,,,,
"
                            导演: 比利·怀尔德 Billy Wilder???主演: 查尔斯·劳顿 Charles Laughton / ...",?/?Witness for the Prosecution,127129人评价,https://movie.douban.com/subject/1296141/,比利·怀德满分作品。,38,9.6,控方证人
,,,,,,,
"
                            导演: 威廉·惠勒 William Wyler???主演: 奥黛丽·赫本 Audrey Hepburn / 格...",?/?Roman Holiday,450949人评价,https://movie.douban.com/subject/1293839/,爱情哪怕只有一天。,39,8.9,罗马假日
,,,,,,,
